entity_name,category,category_uuid,usd,btc,txs,usd_in,btc_in,txs_in
BuenBit,UNKNOWN,,108596644.26,3023.8248952,126368,108596644.26,3023.8248952,126368
Busha,criminal,f88c4f4c-a9b6-11ea-b6eb-0adaa880d7fe,169711.29,5.6848956,552,169711.29,5.6848956,552
Busha,dark market,f88c4a3b-a9b6-11ea-b6eb-0adaa880d7fe,3310.35,0.0702348,50,3310.35,0.0702348,50
Busha,exchange,f88c240d-a9b6-11ea-b6eb-0adaa880d7fe,7138109.6,231.89709772,12398,715213068.44,21305.37823296,39040
Busha,gambling,f88c473a-a9b6-11ea-b6eb-0adaa880d7fe,7464.67,0.3515454,108,7464.67,0.3515454,108
Busha,high risk exchange,f88c5069-a9b6-11ea-b6eb-0adaa880d7fe,59524.19,1.9556018,188,59524.19,1.9556018,188
Busha,hyip,f88c4b56-a9b6-11ea-b6eb-0adaa880d7fe,256810.63,10.06763026,422,256810.63,10.06763026,422
Busha,services,f88c49ad-a9b6-11ea-b6eb-0adaa880d7fe,74426.83,2.32756726,1144,74426.83,2.32756726,1144
Busha,wallet,f88c4daa-a9b6-11ea-b6eb-0adaa880d7fe,24024.42,0.76992922,308,24024.42,0.76992922,308
Busha,UNKNOWN,,236106203.16,8304.80312986,22814,236106203.16,8304.80312986,22814
bustabit,UNKNOWN,,7947330.62,296.4544739,50,7947330.62,296.4544739,50
ButterproFXTrade,exchange,f88c240d-a9b6-11ea-b6eb-0adaa880d7fe,19569.15,0.34021044,30,19569.15,0.34021044,30
ButterproFXTrade,hyip,f88c4b56-a9b6-11ea-b6eb-0adaa880d7fe,0,0,0,1815.39,0.03190377,5
ButterproFXTrade,services,f88c49ad-a9b6-11ea-b6eb-0adaa880d7fe,426.31,0.00713389,3,426.31,0.00713389,3
ButterproFXTrade,wallet,f88c4daa-a9b6-11ea-b6eb-0adaa880d7fe,856.11,0.01739568,2,856.11,0.01739568,2
ButterproFXTrade,UNKNOWN,,16113.18,0.31526481,36,16113.18,0.31526481,36
BuyCash,criminal,f88c4f4c-a9b6-11ea-b6eb-0adaa880d7fe,3104.92,0.07200357,27,3104.92,0.07200357,27
BuyCash,dark market,f88c4a3b-a9b6-11ea-b6eb-0adaa880d7fe,4786.83,0.11496576,27,4786.83,0.11496576,27
BuyCash,exchange,f88c240d-a9b6-11ea-b6eb-0adaa880d7fe,148949.14,3.56296311,9,148949.14,3.56296311,9
BuyCash,high risk exchange,f88c5069-a9b6-11ea-b6eb-0adaa880d7fe,0,0,0,199541.23,4.64006256,384
BuyCash,UNKNOWN,,49302.49,1.1521461,324,49302.49,1.1521461,324
Bvnex,exchange,f88c240d-a9b6-11ea-b6eb-0adaa880d7fe,483368.89,8.01307815,15,640607.04,10.61970345,30
Bybit,atm,f88c4acb-a9b6-11ea-b6eb-0adaa880d7fe,539788.59,15.734527,480,539788.59,15.734527,480
