entity_name,category,category_uuid,usd,btc,txs,usd_in,btc_in,txs_in
VirtualSim,high risk exchange,f88c5069-a9b6-11ea-b6eb-0adaa880d7fe,1191.6,0.05139312,6,1191.6,0.05139312,6
VirtualSim,services,f88c49ad-a9b6-11ea-b6eb-0adaa880d7fe,0,0,0,2018.71,0.06079888,34
VirtualSim,UNKNOWN,,8445.69,0.36897586,456,8445.69,0.36897586,456
Virtuse,wallet,f88c4daa-a9b6-11ea-b6eb-0adaa880d7fe,1792.27,0.0432,30,1792.27,0.0432,30
Virtuse,UNKNOWN,,250.73,0.006,6,250.73,0.006,6
VirWoX.com,UNKNOWN,,183.1,0.0065028,105,183.1,0.0065028,105
VitaWallet,wallet,f88c4daa-a9b6-11ea-b6eb-0adaa880d7fe,187.18,0.0076,8,187.18,0.0076,8
ViteX,atm,f88c4acb-a9b6-11ea-b6eb-0adaa880d7fe,6707.01,0.12914713,34,6707.01,0.12914713,34
ViteX,exchange,f88c240d-a9b6-11ea-b6eb-0adaa880d7fe,54898980.97,1383.11535577,22338,394855001.4,10116.74225469,60741
ViteX,gambling,f88c473a-a9b6-11ea-b6eb-0adaa880d7fe,13346.06,0.696762,17,13346.06,0.696762,17
ViteX,hyip,f88c4b56-a9b6-11ea-b6eb-0adaa880d7fe,6916.67,0.16176248,51,6916.67,0.16176248,51
ViteX,miner,f88c4bfd-a9b6-11ea-b6eb-0adaa880d7fe,14788.86,0.34742662,170,14788.86,0.34742662,170
ViteX,services,f88c49ad-a9b6-11ea-b6eb-0adaa880d7fe,201322.96,4.60177318,374,201322.96,4.60177318,374
ViteX,wallet,f88c4daa-a9b6-11ea-b6eb-0adaa880d7fe,3875.58,0.0714,51,3875.58,0.0714,51
ViteX,UNKNOWN,,142102565.74,3593.70309048,46852,142102565.74,3593.70309048,46852
VolaBit,exchange,f88c240d-a9b6-11ea-b6eb-0adaa880d7fe,12215002.6,261.62252748,4896,537204212.11,10174.10922216,33552
VolaBit,gambling,f88c473a-a9b6-11ea-b6eb-0adaa880d7fe,18093.93,0.45828,18,18093.93,0.45828,18
VolaBit,hyip,f88c4b56-a9b6-11ea-b6eb-0adaa880d7fe,1514520.38,35.5907772,72,1514520.38,35.5907772,72
VolaBit,miner,f88c4bfd-a9b6-11ea-b6eb-0adaa880d7fe,461025.85,10.93592574,918,461025.85,10.93592574,918
VolaBit,services,f88c49ad-a9b6-11ea-b6eb-0adaa880d7fe,152292.92,3.42361134,72,152292.92,3.42361134,72
VolaBit,wallet,f88c4daa-a9b6-11ea-b6eb-0adaa880d7fe,1329759.16,25.43189958,126,1329759.16,25.43189958,126
VolaBit,UNKNOWN,,258974470.52,5665.85148924,52344,258974470.52,5665.85148924,52344
Voyager,exchange,f88c240d-a9b6-11ea-b6eb-0adaa880d7fe,881.38,0.014,14,887947156803.94,23494357.64007178,362124
Voyager,wallet,f88c4daa-a9b6-11ea-b6eb-0adaa880d7fe,1259.29,0.0448,28,1259.29,0.0448,28
Voyager,UNKNOWN,,10666574247.89,324092.2975696,5404,10666574247.89,324092.2975696,5404
WallBTC,dark market,f88c4a3b-a9b6-11ea-b6eb-0adaa880d7fe,36395.66,0.87924214,98,36395.66,0.87924214,98
WallBTC,exchange,f88c240d-a9b6-11ea-b6eb-0adaa880d7fe,38612.91,0.80712002,42,38612.91,0.80712002,42
WallBTC,miner,f88c4bfd-a9b6-11ea-b6eb-0adaa880d7fe,5839.71,0.13478899,49,5839.71,0.13478899,49
WallBTC,services,f88c49ad-a9b6-11ea-b6eb-0adaa880d7fe,243.01,0.00653674,14,243.01,0.00653674,14
WallBTC,wallet,f88c4daa-a9b6-11ea-b6eb-0adaa880d7fe,2124.26,0.0413,28,2124.26,0.0413,28
WallBTC,UNKNOWN,,21061.02,0.44454494,448,21061.02,0.44454494,448
WalletofSatoshi,atm,f88c4acb-a9b6-11ea-b6eb-0adaa880d7fe,128.52,0.00304478,2,128.52,0.00304478,2
WalletofSatoshi,exchange,f88c240d-a9b6-11ea-b6eb-0adaa880d7fe,9674.51,0.26601716,20,9674.51,0.26601716,20
WalletofSatoshi,miner,f88c4bfd-a9b6-11ea-b6eb-0adaa880d7fe,20470.23,0.50515598,68,20470.23,0.50515598,68
WalletofSatoshi,services,f88c49ad-a9b6-11ea-b6eb-0adaa880d7fe,155.37,0.00366168,2,155.37,0.00366168,2
WalletofSatoshi,wallet,f88c4daa-a9b6-11ea-b6eb-0adaa880d7fe,0,0,0,7146.47,0.14720756,14
WalletofSatoshi,UNKNOWN,,940075.22,35.7557411,664,940075.22,35.7557411,664
Wallex,exchange,f88c240d-a9b6-11ea-b6eb-0adaa880d7fe,15779.05,0.32850658,64,15779.05,0.32850658,64
Wallex,miner,f88c4bfd-a9b6-11ea-b6eb-0adaa880d7fe,17596.14,0.30032468,102,17596.14,0.30032468,102
Wallex,UNKNOWN,,19012.57,0.35220132,42,19012.57,0.35220132,42
Waves,atm,f88c4acb-a9b6-11ea-b6eb-0adaa880d7fe,407384.89,17.4404198,160,407384.89,17.4404198,160
Waves,criminal,f88c4f4c-a9b6-11ea-b6eb-0adaa880d7fe,238914166.63,11502.7469194,7680,238914166.63,11502.7469194,7680
Waves,dark market,f88c4a3b-a9b6-11ea-b6eb-0adaa880d7fe,1680377.72,34.9200656,960,1680377.72,34.9200656,960
Waves,exchange,f88c240d-a9b6-11ea-b6eb-0adaa880d7fe,1217329892.59,31918.9251226,45380,8097588982.48,276473.3354368,155960
Waves,gambling,f88c473a-a9b6-11ea-b6eb-0adaa880d7fe,2547106.69,61.1402016,320,2547106.69,61.1402016,320
Waves,high risk exchange,f88c5069-a9b6-11ea-b6eb-0adaa880d7fe,2704857.44,73.0101452,700,2704857.44,73.0101452,700
Waves,hyip,f88c4b56-a9b6-11ea-b6eb-0adaa880d7fe,1133801.5,40.4363528,500,1133801.5,40.4363528,500
Waves,miner,f88c4bfd-a9b6-11ea-b6eb-0adaa880d7fe,784881.86,22.7536246,6000,784881.86,22.7536246,6000
Waves,mixer,f88c486d-a9b6-11ea-b6eb-0adaa880d7fe,102483.54,1.517336,20,102483.54,1.517336,20
Waves,pool,f88c491b-a9b6-11ea-b6eb-0adaa880d7fe,10625.84,0.2013768,40,10625.84,0.2013768,40
Waves,ransomware,f88c4d1c-a9b6-11ea-b6eb-0adaa880d7fe,1314.03,0.061208,20,1314.03,0.061208,20
Waves,services,f88c49ad-a9b6-11ea-b6eb-0adaa880d7fe,5647337.37,154.0308194,1300,5647337.37,154.0308194,1300
Waves,wallet,f88c4daa-a9b6-11ea-b6eb-0adaa880d7fe,1248855.76,27.1401484,1840,1248855.76,27.1401484,1840
Waves,UNKNOWN,,1279871828.88,32578.6910402,142620,1279871828.88,32578.6910402,142620
WazirX,atm,f88c4acb-a9b6-11ea-b6eb-0adaa880d7fe,3025125.15,81.73388745,2394,3025125.15,81.73388745,2394
WazirX,criminal,f88c4f4c-a9b6-11ea-b6eb-0adaa880d7fe,30210.25,0.83459191,551,30210.25,0.83459191,551
WazirX,dark market,f88c4a3b-a9b6-11ea-b6eb-0adaa880d7fe,35067.73,0.79838,76,35067.73,0.79838,76
WazirX,exchange,f88c240d-a9b6-11ea-b6eb-0adaa880d7fe,6517482826.17,168187.5998049,294063,372465751992.3,10720542.5115032,1202738
WazirX,faucet,f88c4c8e-a9b6-11ea-b6eb-0adaa880d7fe,5.16,0.00025042,19,5.16,0.00025042,19
WazirX,gambling,f88c473a-a9b6-11ea-b6eb-0adaa880d7fe,20303187.23,523.77519545,24396,20303187.23,523.77519545,24396
WazirX,high risk exchange,f88c5069-a9b6-11ea-b6eb-0adaa880d7fe,670530.4,15.04265397,1197,670530.4,15.04265397,1197
WazirX,hyip,f88c4b56-a9b6-11ea-b6eb-0adaa880d7fe,1775767.92,54.13806002,5909,1775767.92,54.13806002,5909
WazirX,miner,f88c4bfd-a9b6-11ea-b6eb-0adaa880d7fe,32528447.34,850.62425345,300903,32528447.34,850.62425345,300903
WazirX,mixer,f88c486d-a9b6-11ea-b6eb-0adaa880d7fe,19200.95,0.95555731,38,19200.95,0.95555731,38
WazirX,pool,f88c491b-a9b6-11ea-b6eb-0adaa880d7fe,405777.71,9.41744994,1653,405777.71,9.41744994,1653
WazirX,services,f88c49ad-a9b6-11ea-b6eb-0adaa880d7fe,52235111.39,1426.68756974,43909,52235111.39,1426.68756974,43909
WazirX,wallet,f88c4daa-a9b6-11ea-b6eb-0adaa880d7fe,178073.6,4.87283443,760,178073.6,4.87283443,760
WazirX,UNKNOWN,,3110735606.35,75537.47256558,2062108,3110735606.35,75537.47256558,2062108
WBB,exchange,f88c240d-a9b6-11ea-b6eb-0adaa880d7fe,0,0,0,13221.34,0.27256752,198
WBB,wallet,f88c4daa-a9b6-11ea-b6eb-0adaa880d7fe,7031.96,0.145998,72,7031.96,0.145998,72
WBB,UNKNOWN,,137.34,0.0036234,36,137.34,0.0036234,36
wBTCb,atm,f88c4acb-a9b6-11ea-b6eb-0adaa880d7fe,0,0,0,1388145.13,39.4953243,2133
wBTCb,exchange,f88c240d-a9b6-11ea-b6eb-0adaa880d7fe,8948746.19,273.21108087,2298,8948746.19,273.21108087,2298
wBTCb,gambling,f88c473a-a9b6-11ea-b6eb-0adaa880d7fe,1002956.39,26.00295717,138,1002956.39,26.00295717,138
wBTCb,high risk exchange,f88c5069-a9b6-11ea-b6eb-0adaa880d7fe,12020.64,0.29596068,9,12020.64,0.29596068,9
