entity_name,category,txs_sent,usd_sent,txs_recieved,usd_recieved,Sent_Risk_Percentage,Recieved_Risk_Percentage
BitcoinWallet.com,gambling,16,1180.59,18.0,2251.28,0.01,0.01
BitcoinWallet.com,high risk exchange,23,21571.67,4.0,677.51,0.0,0.01
BitcoinWallet.com,hyip,8,1643.18,50.0,12048.91,0.0,0.0
BitcoinWallet.com,mixer,1,116.62,0.0,0.0,0.01,
BitexBook,dark market,16,1839.98,0.0,0.0,0.01,
Bitexbit,high risk exchange,24,3589.3,0.0,0.0,0.01,
Bitexbit,hyip,8,385.52,9.0,4295.51,0.02,0.0
Bitfex,dark market,17,1827.97,0.0,0.0,0.01,
Bitfex,hyip,51,13779.94,0.0,0.0,0.0,
Bitfinex.com,criminal,147,30957.43,66.0,46926.47,0.0,0.0
Bitfinex.com,dark market,1827,286009.59,242.0,207186.91,0.01,0.0
Bitfinex.com,gambling,5712,13660831.92,2288.0,26775419.16,0.0,0.0
Bitfinex.com,high risk exchange,22638,141897621.56,8866.0,151342696.9,0.0,0.0
Bitfinex.com,hyip,5565,9148433.73,1430.0,887945.24,0.0,0.0
Bitfinex.com,mixer,1134,38416161.27,154.0,2768267.49,0.0,0.0
Bitfinex.com,ransomware,63,349094.87,44.0,419017.95,0.0,0.0
Bitflyer.jp,criminal,2394,3761508.34,44.0,93464.73,0.0,0.0
Bitflyer.jp,dark market,2541,572476.53,22.0,8869.46,0.0,0.0
Bitflyer.jp,gambling,148323,174123954.86,11066.0,43099716.28,0.0,0.0
Bitflyer.jp,high risk exchange,4116,9451219.56,506.0,361634.02,0.0,0.0
Bitflyer.jp,hyip,2436,11775843.6,440.0,630127.43,0.0,0.0
Bitflyer.jp,mixer,168,222450.72,0.0,0.0,0.0,
Bitget,criminal,17,16012.45,0.0,0.0,0.0,
Bitget,dark market,204,34973.95,0.0,0.0,0.01,
Bitget,gambling,1037,356743.67,0.0,0.0,0.0,
Bitget,high risk exchange,663,500534.18,0.0,0.0,0.0,
Bitget,hyip,357,72903.68,0.0,0.0,0.0,
Bitget,ransomware,51,22799.6,0.0,0.0,0.0,
Bitkan,dark market,60,21432.16,0.0,0.0,0.0,
Bitkan,high risk exchange,180,848673.39,0.0,0.0,0.0,
Bitkan,hyip,30,2176.76,48.0,9879.72,0.01,0.0
